MVNR01018673.1	orpheusFish_scaffold18673
MVNR01011509.1	NW_019040625.1
MVNR01027953.1	orpheusFish_scaffold27953
MVNR01017070.1	NW_019046186.1
MVNR01017518.1	orpheusFish_scaffold17518
MVNR01006964.1	NW_019036080.1
MVNR01026657.1	NW_019055773.1
MVNR01010877.1	orpheusFish_scaffold10877
MVNR01007615.1	NW_019036731.1
MVNR01014452.1	orpheusFish_scaffold14452
MVNR01024559.1	NW_019053675.1
MVNR01009984.1	NW_019039100.1
MVNR01027087.1	NW_019056203.1
MVNR01005120.1	orpheusFish_scaffold5120
MVNR01013301.1	NW_019042417.1
MVNR01028208.1	NW_019057324.1
MVNR01030380.1	NW_019059496.1
MVNR01019154.1	orpheusFish_scaffold19154
MVNR01016572.1	orpheusFish_scaffold16572
MVNR01025170.1	orpheusFish_scaffold25170
MVNR01017722.1	orpheusFish_scaffold17722
MVNR01009227.1	NW_019038343.1
MVNR01003872.1	NW_019032988.1
MVNR01021500.1	NW_019050616.1
MVNR01028584.1	orpheusFish_scaffold28584
MVNR01016170.1	NW_019045286.1
MVNR01010366.1	orpheusFish_scaffold10366
MVNR01020389.1	NW_019049505.1
MVNR01006969.1	NW_019036085.1
MVNR01006012.1	orpheusFish_scaffold6012
MVNR01025853.1	orpheusFish_scaffold25853
MVNR01009416.1	NW_019038532.1
MVNR01025652.1	orpheusFish_scaffold25652
MVNR01020767.1	NW_019049883.1
MVNR01016422.1	NW_019045538.1
MVNR01010516.1	NW_019039632.1
MVNR01006979.1	NW_019036095.1
MVNR01011988.1	orpheusFish_scaffold11988
MVNR01019243.1	orpheusFish_scaffold19243
MVNR01023461.1	orpheusFish_scaffold23461
MVNR01028856.1	orpheusFish_scaffold28856
MVNR01007367.1	orpheusFish_scaffold7367
MVNR01000616.1	orpheusFish_scaffold616
MVNR01015239.1	orpheusFish_scaffold15239
MVNR01005188.1	NW_019034304.1
MVNR01028851.1	orpheusFish_scaffold28851
MVNR01025896.1	orpheusFish_scaffold25896
MVNR01017571.1	NW_019046687.1
MVNR01030037.1	NW_019059153.1
MVNR01023959.1	orpheusFish_scaffold23959
MVNR01013886.1	NW_019043002.1
MVNR01003060.1	orpheusFish_scaffold3060
MVNR01008844.1	NW_019037960.1
MVNR01027648.1	orpheusFish_scaffold27648
MVNR01022468.1	NW_019051584.1
MVNR01005787.1	orpheusFish_scaffold5787
MVNR01004945.1	orpheusFish_scaffold4945
MVNR01002808.1	orpheusFish_scaffold2808
MVNR01007994.1	NW_019037110.1
MVNR01016334.1	orpheusFish_scaffold16334
MVNR01020320.1	orpheusFish_scaffold20320
MVNR01005341.1	NW_019034457.1
MVNR01017018.1	NW_019046134.1
MVNR01019246.1	NW_019048362.1
MVNR01009700.1	NW_019038816.1
MVNR01015440.1	NW_019044556.1
MVNR01025480.1	orpheusFish_scaffold25480
MVNR01023082.1	orpheusFish_scaffold23082
MVNR01027533.1	orpheusFish_scaffold27533
MVNR01024195.1	orpheusFish_scaffold24195
MVNR01001827.1	orpheusFish_scaffold1827
MVNR01016871.1	NW_019045987.1
MVNR01024501.1	orpheusFish_scaffold24501
MVNR01006022.1	orpheusFish_scaffold6022
MVNR01024914.1	NW_019054030.1
MVNR01010496.1	orpheusFish_scaffold10496
MVNR01022484.1	orpheusFish_scaffold22484
MVNR01026790.1	NW_019055906.1
MVNR01010798.1	orpheusFish_scaffold10798
MVNR01029444.1	orpheusFish_scaffold29444
MVNR01023330.1	orpheusFish_scaffold23330
MVNR01028386.1	NW_019057502.1
MVNR01006018.1	NW_019035134.1
MVNR01011087.1	orpheusFish_scaffold11087
MVNR01024238.1	NW_019053354.1
MVNR01005965.1	NW_019035081.1
MVNR01016224.1	orpheusFish_scaffold16224
MVNR01021959.1	NW_019051075.1
MVNR01001094.1	orpheusFish_scaffold1094
MVNR01020406.1	orpheusFish_scaffold20406
MVNR01010911.1	NW_019040027.1
MVNR01008113.1	orpheusFish_scaffold8113
MVNR01030094.1	NW_019059210.1
MVNR01018767.1	NW_019047883.1
MVNR01011097.1	orpheusFish_scaffold11097
MVNR01022960.1	NW_019052076.1
MVNR01009608.1	orpheusFish_scaffold9608
MVNR01024949.1	orpheusFish_scaffold24949
MVNR01028662.1	NW_019057778.1
MVNR01001575.1	orpheusFish_scaffold1575
MVNR01021638.1	orpheusFish_scaffold21638
MVNR01009299.1	orpheusFish_scaffold9299
MVNR01011032.1	orpheusFish_scaffold11032
MVNR01010160.1	NW_019039276.1
MVNR01012903.1	orpheusFish_scaffold12903
MVNR01027931.1	NW_019057047.1
MVNR01003272.1	orpheusFish_scaffold3272
MVNR01013131.1	NW_019042247.1
MVNR01014225.1	NW_019043341.1
MVNR01007768.1	orpheusFish_scaffold7768
MVNR01005349.1	orpheusFish_scaffold5349
MVNR01008613.1	NW_019037729.1
MVNR01000672.1	orpheusFish_scaffold672
MVNR01012083.1	NW_019041199.1
MVNR01004331.1	NW_019033447.1
MVNR01004555.1	NW_019033671.1
MVNR01021392.1	NW_019050508.1
MVNR01011613.1	orpheusFish_scaffold11613
MVNR01014205.1	orpheusFish_scaffold14205
MVNR01003733.1	orpheusFish_scaffold3733
MVNR01011201.1	NW_019040317.1
MVNR01028388.1	NW_019057504.1
MVNR01030394.1	orpheusFish_scaffold30394
MVNR01021999.1	orpheusFish_scaffold21999
MVNR01004939.1	NW_019034055.1
MVNR01022171.1	NW_019051287.1
MVNR01014405.1	orpheusFish_scaffold14405
MVNR01011199.1	orpheusFish_scaffold11199
MVNR01016790.1	orpheusFish_scaffold16790
MVNR01028212.1	orpheusFish_scaffold28212
MVNR01006430.1	orpheusFish_scaffold6430
MVNR01000707.1	NW_019029823.1
MVNR01004945.1	NW_019034061.1
MVNR01010420.1	orpheusFish_scaffold10420
MVNR01002522.1	NW_019031638.1
MVNR01023174.1	NW_019052290.1
MVNR01000409.1	orpheusFish_scaffold409
MVNR01006670.1	NW_019035786.1
MVNR01028144.1	orpheusFish_scaffold28144
MVNR01007445.1	NW_019036561.1
MVNR01014071.1	NW_019043187.1
MVNR01012913.1	NW_019042029.1
MVNR01004200.1	orpheusFish_scaffold4200
MVNR01016842.1	NW_019045958.1
MVNR01017010.1	orpheusFish_scaffold17010
MVNR01024950.1	NW_019054066.1
MVNR01017431.1	NW_019046547.1
MVNR01002166.1	orpheusFish_scaffold2166
MVNR01014669.1	orpheusFish_scaffold14669
MVNR01021420.1	orpheusFish_scaffold21420
MVNR01011008.1	NW_019040124.1
MVNR01001297.1	orpheusFish_scaffold1297
MVNR01008866.1	orpheusFish_scaffold8866
MVNR01018917.1	orpheusFish_scaffold18917
MVNR01010486.1	NW_019039602.1
MVNR01018410.1	NW_019047526.1
MVNR01010243.1	NW_019039359.1
MVNR01006089.1	NW_019035205.1
MVNR01000953.1	NW_019030069.1
MVNR01023081.1	NW_019052197.1
MVNR01025961.1	orpheusFish_scaffold25961
MVNR01008378.1	NW_019037494.1
MVNR01019475.1	orpheusFish_scaffold19475
MVNR01028307.1	NW_019057423.1
MVNR01028809.1	orpheusFish_scaffold28809
MVNR01016158.1	orpheusFish_scaffold16158
MVNR01004226.1	NW_019033342.1
MVNR01025110.1	NW_019054226.1
MVNR01015892.1	orpheusFish_scaffold15892
MVNR01000056.1	NW_019029172.1
MVNR01027202.1	NW_019056318.1
MVNR01030025.1	orpheusFish_scaffold30025
MVNR01021950.1	NW_019051066.1
MVNR01015647.1	orpheusFish_scaffold15647
MVNR01000431.1	orpheusFish_scaffold431
MVNR01007045.1	orpheusFish_scaffold7045
MVNR01024646.1	NW_019053762.1
MVNR01021843.1	NW_019050959.1
MVNR01001073.1	orpheusFish_scaffold1073
MVNR01024438.1	orpheusFish_scaffold24438
MVNR01020590.1	orpheusFish_scaffold20590
MVNR01012996.1	NW_019042112.1
MVNR01027105.1	orpheusFish_scaffold27105
MVNR01023173.1	orpheusFish_scaffold23173
MVNR01007632.1	NW_019036748.1
MVNR01026902.1	NW_019056018.1
MVNR01010154.1	orpheusFish_scaffold10154
MVNR01007116.1	orpheusFish_scaffold7116
MVNR01011518.1	NW_019040634.1
MVNR01017280.1	orpheusFish_scaffold17280
MVNR01028135.1	NW_019057251.1
MVNR01010450.1	orpheusFish_scaffold10450
MVNR01014968.1	orpheusFish_scaffold14968
MVNR01000273.1	NW_019029389.1
MVNR01019346.1	orpheusFish_scaffold19346
MVNR01002391.1	NW_019031507.1
MVNR01009824.1	NW_019038940.1
MVNR01006206.1	NW_019035322.1
MVNR01016593.1	orpheusFish_scaffold16593
MVNR01006519.1	orpheusFish_scaffold6519
MVNR01020979.1	orpheusFish_scaffold20979
MVNR01029268.1	orpheusFish_scaffold29268
MVNR01015920.1	orpheusFish_scaffold15920
MVNR01017569.1	NW_019046685.1
MVNR01017777.1	NW_019046893.1
MVNR01008653.1	NW_019037769.1
MVNR01029552.1	NW_019058668.1
MVNR01009836.1	NW_019038952.1
MVNR01010942.1	NW_019040058.1
MVNR01000535.1	orpheusFish_scaffold535
MVNR01000286.1	orpheusFish_scaffold286
MVNR01005501.1	NW_019034617.1
MVNR01022352.1	NW_019051468.1
MVNR01025448.1	orpheusFish_scaffold25448
MVNR01010958.1	orpheusFish_scaffold10958
MVNR01009635.1	orpheusFish_scaffold9635
MVNR01003180.1	NW_019032296.1
MVNR01001022.1	NW_019030138.1
MVNR01029062.1	NW_019058178.1
MVNR01022990.1	orpheusFish_scaffold22990
MVNR01014233.1	orpheusFish_scaffold14233
MVNR01025247.1	orpheusFish_scaffold25247
MVNR01012320.1	orpheusFish_scaffold12320
MVNR01012103.1	NW_019041219.1
MVNR01020721.1	orpheusFish_scaffold20721
MVNR01029977.1	orpheusFish_scaffold29977
MVNR01003817.1	NW_019032933.1
MVNR01027071.1	NW_019056187.1
MVNR01013047.1	orpheusFish_scaffold13047
MVNR01016308.1	NW_019045424.1
MVNR01003983.1	orpheusFish_scaffold3983
MVNR01003524.1	NW_019032640.1
MVNR01014432.1	NW_019043548.1
MVNR01029028.1	orpheusFish_scaffold29028
MVNR01001513.1	NW_019030629.1
MVNR01012139.1	orpheusFish_scaffold12139
MVNR01030107.1	orpheusFish_scaffold30107
MVNR01008420.1	orpheusFish_scaffold8420
MVNR01010721.1	orpheusFish_scaffold10721
MVNR01023849.1	NW_019052965.1
MVNR01026943.1	NW_019056059.1
MVNR01001566.1	NW_019030682.1
MVNR01028743.1	NW_019057859.1
MVNR01011614.1	orpheusFish_scaffold11614
MVNR01001693.1	orpheusFish_scaffold1693
MVNR01000832.1	NW_019029948.1
MVNR01010396.1	NW_019039512.1
MVNR01028430.1	orpheusFish_scaffold28430
MVNR01027067.1	orpheusFish_scaffold27067
MVNR01006265.1	NW_019035381.1
MVNR01022829.1	NW_019051945.1
MVNR01015896.1	orpheusFish_scaffold15896
MVNR01008502.1	orpheusFish_scaffold8502
MVNR01025715.1	orpheusFish_scaffold25715
MVNR01012107.1	NW_019041223.1
MVNR01023788.1	orpheusFish_scaffold23788
MVNR01025670.1	orpheusFish_scaffold25670
MVNR01028265.1	NW_019057381.1
MVNR01018710.1	orpheusFish_scaffold18710
MVNR01026849.1	NW_019055965.1
MVNR01011538.1	NW_019040654.1
MVNR01007336.1	NW_019036452.1
MVNR01005696.1	NW_019034812.1
MVNR01005477.1	NW_019034593.1
MVNR01001287.1	orpheusFish_scaffold1287
MVNR01014790.1	NW_019043906.1
MVNR01002795.1	NW_019031911.1
MVNR01028605.1	NW_019057721.1
MVNR01008549.1	orpheusFish_scaffold8549
MVNR01009031.1	NW_019038147.1
MVNR01025609.1	orpheusFish_scaffold25609
MVNR01007932.1	orpheusFish_scaffold7932
MVNR01026456.1	NW_019055572.1
MVNR01006508.1	orpheusFish_scaffold6508
MVNR01019988.1	orpheusFish_scaffold19988
MVNR01026851.1	orpheusFish_scaffold26851
MVNR01001228.1	NW_019030344.1
MVNR01010770.1	orpheusFish_scaffold10770
MVNR01020324.1	orpheusFish_scaffold20324
MVNR01021421.1	orpheusFish_scaffold21421
MVNR01015520.1	orpheusFish_scaffold15520
MVNR01017452.1	NW_019046568.1
MVNR01023459.1	NW_019052575.1
MVNR01013769.1	NW_019042885.1
MVNR01022386.1	orpheusFish_scaffold22386
MVNR01015704.1	NW_019044820.1
MVNR01024279.1	orpheusFish_scaffold24279
MVNR01028745.1	orpheusFish_scaffold28745
MVNR01003759.1	orpheusFish_scaffold3759
MVNR01017601.1	NW_019046717.1
MVNR01006807.1	orpheusFish_scaffold6807
MVNR01029065.1	NW_019058181.1
MVNR01023988.1	NW_019053104.1
MVNR01016165.1	NW_019045281.1
MVNR01018753.1	NW_019047869.1
MVNR01011784.1	NW_019040900.1
MVNR01019418.1	orpheusFish_scaffold19418
MVNR01025454.1	NW_019054570.1
MVNR01000451.1	NW_019029567.1
MVNR01006244.1	NW_019035360.1
MVNR01010670.1	NW_019039786.1
MVNR01004136.1	orpheusFish_scaffold4136
MVNR01003259.1	NW_019032375.1
MVNR01004357.1	orpheusFish_scaffold4357
MVNR01022578.1	orpheusFish_scaffold22578
MVNR01017178.1	orpheusFish_scaffold17178
MVNR01030085.1	orpheusFish_scaffold30085
MVNR01016926.1	NW_019046042.1
MVNR01014495.1	orpheusFish_scaffold14495
MVNR01009801.1	NW_019038917.1
MVNR01021567.1	orpheusFish_scaffold21567
MVNR01025593.1	orpheusFish_scaffold25593
MVNR01018751.1	NW_019047867.1
MVNR01005634.1	orpheusFish_scaffold5634
MVNR01023634.1	NW_019052750.1
MVNR01012720.1	NW_019041836.1
MVNR01030169.1	NW_019059285.1
MVNR01005281.1	orpheusFish_scaffold5281
MVNR01023052.1	NW_019052168.1
MVNR01023020.1	NW_019052136.1
MVNR01027545.1	orpheusFish_scaffold27545
MVNR01028353.1	NW_019057469.1
MVNR01005712.1	orpheusFish_scaffold5712
MVNR01010379.1	NW_019039495.1
MVNR01007142.1	orpheusFish_scaffold7142
MVNR01008051.1	orpheusFish_scaffold8051
MVNR01019824.1	NW_019048940.1
MVNR01013284.1	NW_019042400.1
MVNR01012119.1	NW_019041235.1
MVNR01001926.1	NW_019031042.1
MVNR01014887.1	NW_019044003.1
MVNR01011603.1	orpheusFish_scaffold11603
MVNR01018719.1	orpheusFish_scaffold18719
MVNR01007315.1	orpheusFish_scaffold7315
MVNR01020274.1	NW_019049390.1
MVNR01011706.1	NW_019040822.1
MVNR01003906.1	NW_019033022.1
MVNR01015193.1	orpheusFish_scaffold15193
MVNR01012401.1	NW_019041517.1
MVNR01016856.1	orpheusFish_scaffold16856
MVNR01005058.1	NW_019034174.1
MVNR01001524.1	NW_019030640.1
MVNR01016130.1	NW_019045246.1
MVNR01000495.1	NW_019029611.1
MVNR01021207.1	NW_019050323.1
MVNR01023145.1	NW_019052261.1
MVNR01014691.1	NW_019043807.1
MVNR01025921.1	NW_019055037.1
MVNR01003037.1	orpheusFish_scaffold3037
MVNR01021037.1	NW_019050153.1
MVNR01019432.1	NW_019048548.1
MVNR01016078.1	NW_019045194.1
MVNR01017096.1	NW_019046212.1
MVNR01013493.1	NW_019042609.1
MVNR01015652.1	orpheusFish_scaffold15652
MVNR01000607.1	orpheusFish_scaffold607
MVNR01016737.1	NW_019045853.1
MVNR01002951.1	NW_019032067.1
MVNR01009895.1	NW_019039011.1
MVNR01022955.1	NW_019052071.1
MVNR01022501.1	NW_019051617.1
MVNR01028936.1	NW_019058052.1
MVNR01023075.1	NW_019052191.1
MVNR01008643.1	orpheusFish_scaffold8643
MVNR01001365.1	orpheusFish_scaffold1365
MVNR01018927.1	orpheusFish_scaffold18927
MVNR01008924.1	orpheusFish_scaffold8924
MVNR01005432.1	orpheusFish_scaffold5432
MVNR01022037.1	orpheusFish_scaffold22037
MVNR01013523.1	NW_019042639.1
MVNR01015512.1	orpheusFish_scaffold15512
MVNR01019265.1	NW_019048381.1
MVNR01012971.1	NW_019042087.1
MVNR01017801.1	orpheusFish_scaffold17801
MVNR01025543.1	NW_019054659.1
MVNR01013568.1	NW_019042684.1
MVNR01026774.1	orpheusFish_scaffold26774
MVNR01006152.1	orpheusFish_scaffold6152
MVNR01008276.1	orpheusFish_scaffold8276
MVNR01019899.1	orpheusFish_scaffold19899
MVNR01029316.1	orpheusFish_scaffold29316
MVNR01028593.1	orpheusFish_scaffold28593
MVNR01005631.1	orpheusFish_scaffold5631
MVNR01014874.1	orpheusFish_scaffold14874
MVNR01006372.1	orpheusFish_scaffold6372
MVNR01003999.1	orpheusFish_scaffold3999
MVNR01008545.1	orpheusFish_scaffold8545
MVNR01017076.1	NW_019046192.1
MVNR01014277.1	NW_019043393.1
MVNR01012802.1	orpheusFish_scaffold12802
MVNR01000871.1	orpheusFish_scaffold871
MVNR01025976.1	NW_019055092.1
MVNR01028199.1	NW_019057315.1
MVNR01024262.1	NW_019053378.1
MVNR01004548.1	orpheusFish_scaffold4548
MVNR01000811.1	NW_019029927.1
MVNR01027056.1	orpheusFish_scaffold27056
MVNR01017808.1	orpheusFish_scaffold17808
MVNR01011789.1	NW_019040905.1
MVNR01006486.1	orpheusFish_scaffold6486
MVNR01016958.1	orpheusFish_scaffold16958
MVNR01007323.1	orpheusFish_scaffold7323
MVNR01018739.1	NW_019047855.1
MVNR01029295.1	orpheusFish_scaffold29295
MVNR01009839.1	orpheusFish_scaffold9839
MVNR01014906.1	NW_019044022.1
MVNR01026067.1	NW_019055183.1
MVNR01029985.1	NW_019059101.1
MVNR01001565.1	orpheusFish_scaffold1565
MVNR01029411.1	NW_019058527.1
MVNR01013917.1	orpheusFish_scaffold13917
MVNR01018408.1	NW_019047524.1
MVNR01016582.1	NW_019045698.1
MVNR01030110.1	NW_019059226.1
MVNR01017121.1	orpheusFish_scaffold17121
MVNR01006757.1	orpheusFish_scaffold6757
MVNR01021955.1	orpheusFish_scaffold21955
MVNR01017781.1	orpheusFish_scaffold17781
MVNR01019009.1	orpheusFish_scaffold19009
MVNR01025124.1	orpheusFish_scaffold25124
MVNR01007947.1	orpheusFish_scaffold7947
MVNR01009510.1	NW_019038626.1
MVNR01016029.1	NW_019045145.1
MVNR01024690.1	orpheusFish_scaffold24690
MVNR01018252.1	orpheusFish_scaffold18252
MVNR01000730.1	NW_019029846.1
MVNR01026218.1	orpheusFish_scaffold26218
MVNR01028648.1	NW_019057764.1
MVNR01027578.1	NW_019056694.1
MVNR01014125.1	NW_019043241.1
MVNR01005440.1	orpheusFish_scaffold5440
MVNR01027933.1	NW_019057049.1
MVNR01006598.1	orpheusFish_scaffold6598
MVNR01008937.1	orpheusFish_scaffold8937
MVNR01008630.1	orpheusFish_scaffold8630
MVNR01026002.1	NW_019055118.1
MVNR01029424.1	orpheusFish_scaffold29424
MVNR01017774.1	orpheusFish_scaffold17774
MVNR01000819.1	NW_019029935.1
MVNR01017216.1	orpheusFish_scaffold17216
MVNR01026417.1	orpheusFish_scaffold26417
MVNR01007387.1	orpheusFish_scaffold7387
MVNR01025819.1	orpheusFish_scaffold25819
MVNR01011058.1	NW_019040174.1
MVNR01003159.1	NW_019032275.1
MVNR01003666.1	orpheusFish_scaffold3666
MVNR01025469.1	NW_019054585.1
MVNR01008017.1	NW_019037133.1
MVNR01006930.1	orpheusFish_scaffold6930
MVNR01016445.1	NW_019045561.1
MVNR01002863.1	NW_019031979.1
MVNR01010911.1	orpheusFish_scaffold10911
MVNR01020447.1	NW_019049563.1
MVNR01008836.1	NW_019037952.1
MVNR01014906.1	orpheusFish_scaffold14906
MVNR01014571.1	NW_019043687.1
MVNR01017443.1	NW_019046559.1
MVNR01017408.1	orpheusFish_scaffold17408
MVNR01014826.1	NW_019043942.1
MVNR01002964.1	NW_019032080.1
MVNR01000560.1	NW_019029676.1
MVNR01029052.1	orpheusFish_scaffold29052
MVNR01012620.1	NW_019041736.1
MVNR01024461.1	NW_019053577.1
MVNR01024023.1	NW_019053139.1
MVNR01013181.1	orpheusFish_scaffold13181
MVNR01009819.1	NW_019038935.1
MVNR01015069.1	NW_019044185.1
MVNR01026102.1	NW_019055218.1
MVNR01005538.1	orpheusFish_scaffold5538
MVNR01010733.1	NW_019039849.1
MVNR01002227.1	orpheusFish_scaffold2227
MVNR01001814.1	NW_019030930.1
MVNR01013770.1	NW_019042886.1
MVNR01030171.1	orpheusFish_scaffold30171
MVNR01029374.1	NW_019058490.1
MVNR01014951.1	orpheusFish_scaffold14951
MVNR01009794.1	NW_019038910.1
MVNR01025678.1	NW_019054794.1
MVNR01002571.1	orpheusFish_scaffold2571
MVNR01015514.1	orpheusFish_scaffold15514
MVNR01003957.1	NW_019033073.1
MVNR01026858.1	orpheusFish_scaffold26858
MVNR01019534.1	orpheusFish_scaffold19534
MVNR01016335.1	orpheusFish_scaffold16335
MVNR01013929.1	orpheusFish_scaffold13929
MVNR01022495.1	orpheusFish_scaffold22495
MVNR01027504.1	NW_019056620.1
MVNR01027017.1	orpheusFish_scaffold27017
MVNR01024786.1	orpheusFish_scaffold24786
MVNR01026997.1	orpheusFish_scaffold26997
MVNR01028052.1	NW_019057168.1
MVNR01005185.1	NW_019034301.1
MVNR01022391.1	NW_019051507.1
MVNR01021233.1	orpheusFish_scaffold21233
MVNR01027530.1	orpheusFish_scaffold27530
MVNR01009151.1	NW_019038267.1
MVNR01006534.1	orpheusFish_scaffold6534
MVNR01025191.1	orpheusFish_scaffold25191
MVNR01015189.1	orpheusFish_scaffold15189
MVNR01011946.1	orpheusFish_scaffold11946
MVNR01002021.1	NW_019031137.1
MVNR01012525.1	NW_019041641.1
MVNR01029809.1	NW_019058925.1
MVNR01006167.1	orpheusFish_scaffold6167
MVNR01017553.1	NW_019046669.1
MVNR01027581.1	orpheusFish_scaffold27581
MVNR01005839.1	orpheusFish_scaffold5839
MVNR01025794.1	orpheusFish_scaffold25794
MVNR01020131.1	orpheusFish_scaffold20131
MVNR01020535.1	NW_019049651.1
MVNR01018414.1	orpheusFish_scaffold18414
MVNR01029208.1	NW_019058324.1
MVNR01028966.1	orpheusFish_scaffold28966
MVNR01004171.1	orpheusFish_scaffold4171
MVNR01009737.1	orpheusFish_scaffold9737
MVNR01003662.1	orpheusFish_scaffold3662
MVNR01013269.1	NW_019042385.1
MVNR01008508.1	NW_019037624.1
MVNR01001108.1	NW_019030224.1
MVNR01019968.1	NW_019049084.1
MVNR01003588.1	NW_019032704.1
MVNR01004261.1	orpheusFish_scaffold4261
MVNR01028748.1	NW_019057864.1
MVNR01022569.1	NW_019051685.1
MVNR01025476.1	orpheusFish_scaffold25476
MVNR01017706.1	orpheusFish_scaffold17706
MVNR01019570.1	NW_019048686.1
MVNR01025150.1	orpheusFish_scaffold25150
MVNR01028501.1	orpheusFish_scaffold28501
MVNR01001712.1	orpheusFish_scaffold1712
MVNR01007881.1	NW_019036997.1
MVNR01003322.1	NW_019032438.1
MVNR01007384.1	NW_019036500.1
MVNR01001345.1	orpheusFish_scaffold1345
MVNR01012446.1	orpheusFish_scaffold12446
MVNR01017678.1	NW_019046794.1
MVNR01002115.1	NW_019031231.1
MVNR01007771.1	NW_019036887.1
MVNR01027625.1	orpheusFish_scaffold27625
MVNR01011519.1	NW_019040635.1
MVNR01022928.1	orpheusFish_scaffold22928
MVNR01011508.1	NW_019040624.1
MVNR01004340.1	NW_019033456.1
MVNR01005571.1	orpheusFish_scaffold5571
MVNR01025083.1	orpheusFish_scaffold25083
MVNR01024087.1	NW_019053203.1
MVNR01004707.1	orpheusFish_scaffold4707
MVNR01023144.1	orpheusFish_scaffold23144
MVNR01026465.1	orpheusFish_scaffold26465
MVNR01020487.1	orpheusFish_scaffold20487
MVNR01002824.1	NW_019031940.1
MVNR01019904.1	orpheusFish_scaffold19904
MVNR01000095.1	orpheusFish_scaffold95
MVNR01014185.1	orpheusFish_scaffold14185
MVNR01017522.1	NW_019046638.1
MVNR01020839.1	NW_019049955.1
MVNR01030161.1	NW_019059277.1
MVNR01004002.1	orpheusFish_scaffold4002
MVNR01029479.1	NW_019058595.1
MVNR01008605.1	orpheusFish_scaffold8605
MVNR01027783.1	orpheusFish_scaffold27783
MVNR01027301.1	NW_019056417.1
