GL251067.1	NW_003276017.1
GL247994.1	NW_003272944.1
GL256926.1	NW_003281876.1
GL232413.1	NW_003257363.1
GL271202.1	NW_003296152.1
GL216903.1	NW_003241853.1
GL204192.1	NW_003229142.1
GL259343.1	NW_003284293.1
GL245935.1	NW_003270885.1
GL263402.1	NW_003288352.1
GL236197.1	NW_003261147.1
GL223523.1	NW_003248473.1
GL193272.1	NW_003218222.1
GL235535.1	NW_003260485.1
GL205615.1	NW_003230565.1
GL268841.1	NW_003293791.1
GL255890.1	NW_003280840.1
GL201648.1	NW_003226598.1
GL198403.1	NW_003223353.1
GL224842.1	NW_003249792.1
GL237810.1	NW_003262760.1
GL257734.1	NW_003282684.1
GL273410.1	NW_003298360.1
GL241009.1	NW_003265959.1
GL252530.1	NW_003277480.1
GL250199.1	NW_003275149.1
GL196603.1	NW_003221553.1
GL248724.1	NW_003273674.1
GL258882.1	NW_003283832.1
GL242184.1	NW_003267134.1
GL268334.1	NW_003293284.1
GL228704.1	NW_003253654.1
GL221280.1	NW_003246230.1
GL216164.1	NW_003241114.1
GL197039.1	NW_003221989.1
GL196105.1	NW_003221055.1
GL231239.1	NW_003256189.1
GL271518.1	NW_003296468.1
GL197059.1	NW_003222009.1
GL251487.1	NW_003276437.1
GL249948.1	NW_003274898.1
GL245624.1	NW_003270574.1
GL246132.1	NW_003271082.1
GL237909.1	NW_003262859.1
GL256040.1	NW_003280990.1
GL243157.1	NW_003268107.1
GL238013.1	NW_003262963.1
GL204904.1	NW_003229854.1
GL216305.1	NW_003241255.1
GL248113.1	NW_003273063.1
GL195558.1	NW_003220508.1
GL258193.1	NW_003283143.1
GL206061.1	NW_003231011.1
GL236462.1	NW_003261412.1
GL227346.1	NW_003252296.1
GL248565.1	NW_003273515.1
GL255836.1	NW_003280786.1
GL247897.1	NW_003272847.1
GL226736.1	NW_003251686.1
GL228963.1	NW_003253913.1
GL213905.1	NW_003238855.1
GL211555.1	NW_003236505.1
GL201935.1	NW_003226885.1
GL224494.1	NW_003249444.1
GL236199.1	NW_003261149.1
GL216893.1	NW_003241843.1
GL265801.1	NW_003290751.1
GL201390.1	NW_003226340.1
GL260647.1	NW_003285597.1
GL239882.1	NW_003264832.1
GL267336.1	NW_003292286.1
GL250313.1	NW_003275263.1
GL264118.1	NW_003289068.1
GL211118.1	NW_003236068.1
GL239849.1	NW_003264799.1
GL265428.1	NW_003290378.1
GL262678.1	NW_003287628.1
GL249904.1	NW_003274854.1
GL197560.1	NW_003222510.1
GL218877.1	NW_003243827.1
GL222663.1	NW_003247613.1
GL248475.1	NW_003273425.1
GL197982.1	NW_003222932.1
GL247993.1	NW_003272943.1
GL248619.1	NW_003273569.1
GL220557.1	NW_003245507.1
GL214675.1	NW_003239625.1
GL245925.1	NW_003270875.1
GL269962.1	NW_003294912.1
GL193312.1	NW_003218262.1
GL259284.1	NW_003284234.1
GL251182.1	NW_003276132.1
GL214667.1	NW_003239617.1
GL216569.1	NW_003241519.1
GL213113.1	NW_003238063.1
GL271031.1	NW_003295981.1
GL215875.1	NW_003240825.1
GL266021.1	NW_003290971.1
GL246356.1	NW_003271306.1
GL251562.1	NW_003276512.1
GL258743.1	NW_003283693.1
GL202031.1	NW_003226981.1
GL202461.1	NW_003227411.1
GL241591.1	NW_003266541.1
GL246640.1	NW_003271590.1
GL200688.1	NW_003225638.1
GL255918.1	NW_003280868.1
GL222315.1	NW_003247265.1
GL216102.1	NW_003241052.1
GL270348.1	NW_003295298.1
GL242593.1	NW_003267543.1
GL268263.1	NW_003293213.1
GL268731.1	NW_003293681.1
GL235605.1	NW_003260555.1
GL262986.1	NW_003287936.1
GL270431.1	NW_003295381.1
GL263140.1	NW_003288090.1
GL249033.1	NW_003273983.1
GL240190.1	NW_003265140.1
GL195774.1	NW_003220724.1
GL247810.1	NW_003272760.1
GL270364.1	NW_003295314.1
GL225387.1	NW_003250337.1
GL234535.1	NW_003259485.1
GL240506.1	NW_003265456.1
GL238408.1	NW_003263358.1
GL263588.1	NW_003288538.1
GL235297.1	NW_003260247.1
GL261654.1	NW_003286604.1
GL198809.1	NW_003223759.1
GL205868.1	NW_003230818.1
GL267920.1	NW_003292870.1
GL266312.1	NW_003291262.1
GL192625.1	NW_003217575.1
GL238404.1	NW_003263354.1
GL221484.1	NW_003246434.1
GL271749.1	NW_003296699.1
GL192557.1	NW_003217507.1
GL272537.1	NW_003297487.1
GL225591.1	NW_003250541.1
GL193760.1	NW_003218710.1
GL265400.1	NW_003290350.1
GL245790.1	NW_003270740.1
GL226310.1	NW_003251260.1
GL206277.1	NW_003231227.1
GL259630.1	NW_003284580.1
GL266895.1	NW_003291845.1
GL203617.1	NW_003228567.1
GL271690.1	NW_003296640.1
GL202472.1	NW_003227422.1
GL195201.1	NW_003220151.1
GL267231.1	NW_003292181.1
GL235747.1	NW_003260697.1
GL247108.1	NW_003272058.1
GL265189.1	NW_003290139.1
GL194166.1	NW_003219116.1
GL212352.1	NW_003237302.1
GL238719.1	NW_003263669.1
GL197453.1	NW_003222403.1
GL216746.1	NW_003241696.1
GL256058.1	NW_003281008.1
GL244769.1	NW_003269719.1
GL245019.1	NW_003269969.1
GL239166.1	NW_003264116.1
GL270849.1	NW_003295799.1
GL205000.1	NW_003229950.1
GL201733.1	NW_003226683.1
GL249764.1	NW_003274714.1
GL194869.1	NW_003219819.1
GL222524.1	NW_003247474.1
GL210774.1	NW_003235724.1
GL219452.1	NW_003244402.1
GL194478.1	NW_003219428.1
GL194101.1	NW_003219051.1
GL244999.1	NW_003269949.1
GL264819.1	NW_003289769.1
GL198638.1	NW_003223588.1
GL212055.1	NW_003237005.1
GL246185.1	NW_003271135.1
GL214912.1	NW_003239862.1
GL196009.1	NW_003220959.1
GL226475.1	NW_003251425.1
GL220711.1	NW_003245661.1
GL256102.1	NW_003281052.1
GL221732.1	NW_003246682.1
GL247545.1	NW_003272495.1
GL196721.1	NW_003221671.1
GL203695.1	NW_003228645.1
GL258508.1	NW_003283458.1
GL208489.1	NW_003233439.1
GL246701.1	NW_003271651.1
GL207325.1	NW_003232275.1
GL232357.1	NW_003257307.1
GL214516.1	NW_003239466.1
GL271456.1	NW_003296406.1
GL224379.1	NW_003249329.1
GL192730.1	NW_003217680.1
GL242847.1	NW_003267797.1
GL222635.1	NW_003247585.1
GL234004.1	NW_003258954.1
GL209361.1	NW_003234311.1
GL221687.1	NW_003246637.1
GL205685.1	NW_003230635.1
GL253887.1	NW_003278837.1
GL258793.1	NW_003283743.1
GL272813.1	NW_003297763.1
GL271223.1	NW_003296173.1
GL264965.1	NW_003289915.1
GL195980.1	NW_003220930.1
GL215491.1	NW_003240441.1
GL218582.1	NW_003243532.1
GL210877.1	NW_003235827.1
GL200702.1	NW_003225652.1
GL223160.1	NW_003248110.1
GL241013.1	NW_003265963.1
GL204739.1	NW_003229689.1
GL216479.1	NW_003241429.1
GL221628.1	NW_003246578.1
GL229966.1	NW_003254916.1
GL233751.1	NW_003258701.1
GL234658.1	NW_003259608.1
GL269203.1	NW_003294153.1
GL261842.1	NW_003286792.1
GL223172.1	NW_003248122.1
GL232322.1	NW_003257272.1
GL264423.1	NW_003289373.1
GL231306.1	NW_003256256.1
GL198640.1	NW_003223590.1
GL250040.1	NW_003274990.1
GL249691.1	NW_003274641.1
GL219070.1	NW_003244020.1
GL266095.1	NW_003291045.1
GL218136.1	NW_003243086.1
GL235824.1	NW_003260774.1
GL227369.1	NW_003252319.1
GL242555.1	NW_003267505.1
GL234465.1	NW_003259415.1
GL204427.1	NW_003229377.1
GL199767.1	NW_003224717.1
GL269326.1	NW_003294276.1
GL218661.1	NW_003243611.1
GL231270.1	NW_003256220.1
GL202674.1	NW_003227624.1
GL241165.1	NW_003266115.1
GL241674.1	NW_003266624.1
GL227310.1	NW_003252260.1
GL198609.1	NW_003223559.1
GL196023.1	NW_003220973.1
GL228491.1	NW_003253441.1
GL225926.1	NW_003250876.1
GL220780.1	NW_003245730.1
GL210187.1	NW_003235137.1
GL257220.1	NW_003282170.1
GL241699.1	NW_003266649.1
GL254188.1	NW_003279138.1
GL248999.1	NW_003273949.1
GL246075.1	NW_003271025.1
GL218246.1	NW_003243196.1
GL257958.1	NW_003282908.1
GL223877.1	NW_003248827.1
GL206092.1	NW_003231042.1
GL225031.1	NW_003249981.1
GL210117.1	NW_003235067.1
GL206104.1	NW_003231054.1
GL270994.1	NW_003295944.1
GL263861.1	NW_003288811.1
GL249847.1	NW_003274797.1
GL206008.1	NW_003230958.1
GL223808.1	NW_003248758.1
GL267667.1	NW_003292617.1
GL272938.1	NW_003297888.1
GL195638.1	NW_003220588.1
GL259675.1	NW_003284625.1
GL199191.1	NW_003224141.1
GL263787.1	NW_003288737.1
GL213947.1	NW_003238897.1
GL253979.1	NW_003278929.1
GL214790.1	NW_003239740.1
GL195920.1	NW_003220870.1
GL265007.1	NW_003289957.1
GL230569.1	NW_003255519.1
GL210615.1	NW_003235565.1
GL210913.1	NW_003235863.1
GL223393.1	NW_003248343.1
GL271719.1	NW_003296669.1
GL206760.1	NW_003231710.1
GL201890.1	NW_003226840.1
GL227964.1	NW_003252914.1
GL250247.1	NW_003275197.1
GL260704.1	NW_003285654.1
GL235303.1	NW_003260253.1
GL235976.1	NW_003260926.1
GL247102.1	NW_003272052.1
GL224619.1	NW_003249569.1
GL262288.1	NW_003287238.1
GL208834.1	NW_003233784.1
GL262670.1	NW_003287620.1
GL240523.1	NW_003265473.1
GL238346.1	NW_003263296.1
GL221672.1	NW_003246622.1
GL194658.1	NW_003219608.1
GL224852.1	NW_003249802.1
GL256211.1	NW_003281161.1
GL202963.1	NW_003227913.1
GL249863.1	NW_003274813.1
GL219873.1	NW_003244823.1
GL273446.1	NW_003298396.1
GL230702.1	NW_003255652.1
GL257225.1	NW_003282175.1
GL211508.1	NW_003236458.1
GL235982.1	NW_003260932.1
GL220202.1	NW_003245152.1
GL243494.1	NW_003268444.1
GL256626.1	NW_003281576.1
GL268765.1	NW_003293715.1
GL219396.1	NW_003244346.1
GL219455.1	NW_003244405.1
GL259452.1	NW_003284402.1
GL216636.1	NW_003241586.1
GL262347.1	NW_003287297.1
GL198778.1	NW_003223728.1
GL252225.1	NW_003277175.1
GL230685.1	NW_003255635.1
GL269782.1	NW_003294732.1
GL259101.1	NW_003284051.1
GL221374.1	NW_003246324.1
GL213551.1	NW_003238501.1
GL247720.1	NW_003272670.1
GL255605.1	NW_003280555.1
GL211207.1	NW_003236157.1
GL268497.1	NW_003293447.1
GL249991.1	NW_003274941.1
GL248887.1	NW_003273837.1
GL251896.1	NW_003276846.1
GL234932.1	NW_003259882.1
GL232658.1	NW_003257608.1
GL199522.1	NW_003224472.1
GL262322.1	NW_003287272.1
GL244300.1	NW_003269250.1
GL214800.1	NW_003239750.1
GL213619.1	NW_003238569.1
GL204074.1	NW_003229024.1
GL237222.1	NW_003262172.1
GL238753.1	NW_003263703.1
GL269546.1	NW_003294496.1
GL201271.1	NW_003226221.1
GL236667.1	NW_003261617.1
GL263280.1	NW_003288230.1
GL233830.1	NW_003258780.1
GL195265.1	NW_003220215.1
GL236186.1	NW_003261136.1
GL235197.1	NW_003260147.1
GL268428.1	NW_003293378.1
GL258332.1	NW_003283282.1
GL200439.1	NW_003225389.1
GL203927.1	NW_003228877.1
GL216185.1	NW_003241135.1
GL244954.1	NW_003269904.1
GL237642.1	NW_003262592.1
GL237925.1	NW_003262875.1
GL216535.1	NW_003241485.1
GL210781.1	NW_003235731.1
GL214694.1	NW_003239644.1
GL208051.1	NW_003233001.1
GL231926.1	NW_003256876.1
